ReqID,Core,WCLatency,Arrival_Time,Finish_Time
4986,2,228,76834,77062
5055,0,143,77019,77162
5012,3,228,76948,77176
5056,0,114,77162,77276
4994,2,228,77062,77290
5070,1,279,77113,77392
5036,3,228,77176,77404
5024,2,228,77290,77518
5080,1,228,77392,77620
5091,3,228,77404,77632
5088,1,24,77620,77644
5102,3,101,77632,77733
5067,2,228,77518,77746
5112,2,12,77746,77758
5125,1,204,77644,77848
5129,3,127,77733,77860
5173,1,24,77848,77872
5167,3,101,77860,77961
5182,1,204,77872,78076
5200,3,127,77961,78088
5237,1,24,78076,78100
5231,3,101,78088,78189
5247,1,214,78100,78314
5302,3,228,78189,78417
5305,1,218,78314,78532
5340,3,228,78417,78645
5315,1,228,78532,78760
5429,0,257,78615,78872
5396,3,342,78645,78987
5378,1,342,78760,79102
5431,0,342,78872,79214
5440,3,342,78987,79329
5420,1,342,79102,79444
5455,0,342,79214,79556
5489,3,342,79329,79671
5479,1,342,79444,79786
5458,0,342,79556,79898
5524,3,342,79671,80013
5511,1,342,79786,80128
5484,0,342,79898,80240
5554,3,342,80013,80355
5546,1,342,80128,80470
5513,0,342,80240,80582
5597,3,342,80355,80697
5576,1,342,80470,80812
5548,0,342,80582,80924
5623,3,342,80697,81039
5619,1,342,80812,81154
5647,3,342,81039,81381
5696,2,129,81331,81460
5725,2,6,81460,81466
5645,1,344,81154,81498
5671,3,230,81381,81611
5726,2,222,81466,81688
5669,1,228,81498,81726
5709,3,228,81611,81839
5786,2,189,81727,81916
5693,1,228,81726,81954
5772,3,228,81839,82067
5854,2,189,81955,82144
5756,1,228,81954,82182
5831,3,228,82067,82295
5952,2,189,82183,82372
5920,0,333,82075,82408
5804,1,342,82182,82524
6033,2,189,82411,82600
5922,3,342,82295,82637
6084,2,57,82639,82696
5928,0,342,82408,82750
5879,1,342,82524,82866
6109,2,224,82696,82920
6010,3,342,82637,82979
6156,2,57,82959,83016
6172,2,48,83016,83064
5929,0,342,82750,83092
5976,1,342,82866,83208
6199,2,200,83064,83264
6092,3,342,82979,83321
6244,2,57,83303,83360
6260,2,48,83360,83408
6082,1,342,83208,83550
6287,2,202,83408,83610
6178,3,342,83321,83663
6332,2,57,83649,83706
6349,2,48,83706,83754
6154,1,230,83550,83780
6264,3,230,83663,83893
6375,2,200,83754,83954
6242,1,228,83780,84008
6348,3,228,83893,84121
6431,2,189,83993,84182
6330,1,228,84008,84236
6420,3,228,84121,84349
6487,2,189,84221,84410
6506,2,12,84410,84422
6401,1,228,84236,84464
6476,3,228,84349,84577
6530,2,160,84422,84582
6543,2,56,84582,84638
6457,1,228,84464,84692
6526,3,228,84577,84805
6554,2,172,84638,84810
6513,1,228,84692,84920
6570,3,228,84805,85033
6594,2,228,84810,85038
6563,1,228,84920,85148
6619,3,228,85033,85261
6627,2,228,85038,85266
6612,1,228,85148,85376
6666,3,228,85261,85489
6674,2,228,85266,85494
6707,3,228,85489,85717
6715,2,228,85494,85722
6765,2,12,85722,85734
6778,2,48,85734,85782
6793,3,58,85757,85815
6797,2,38,85782,85820
6802,3,87,85815,85902
6808,2,198,85820,86018
6836,3,230,85902,86132
6842,2,228,86018,86246
6877,3,228,86132,86360
6901,2,228,86246,86474
6920,3,228,86360,86588
6935,2,228,86474,86702
6952,3,228,86588,86816
6967,2,228,86702,86930
6984,3,228,86816,87044
6999,2,228,86930,87158
7017,3,228,87044,87272
7033,2,228,87158,87386
7051,3,228,87272,87500
7066,2,228,87386,87614
7083,3,228,87500,87728
7108,2,228,87614,87842
7137,3,228,87728,87956
7154,2,228,87842,88070
7171,3,228,87956,88184
7186,2,228,88070,88298
7203,3,228,88184,88412
7218,2,228,88298,88526
7235,3,228,88412,88640
7250,2,228,88526,88754
7267,3,228,88640,88868
7282,2,228,88754,88982
7344,1,129,88921,89050
7372,1,6,89050,89056
7299,3,228,88868,89096
7314,2,228,88982,89210
7379,1,222,89056,89278
7331,3,228,89096,89324
7359,2,228,89210,89438
7443,1,189,89317,89506
7406,3,228,89324,89552
7429,2,228,89438,89666
7507,1,189,89545,89734
7457,3,228,89552,89780
7493,2,228,89666,89894
7571,1,189,89773,89962
7521,3,228,89780,90008
7557,2,228,89894,90122
7636,1,189,90001,90190
7585,3,228,90008,90236
7622,2,228,90122,90350
7700,1,189,90229,90418
7650,3,228,90236,90464
7686,2,228,90350,90578
7777,1,189,90457,90646
7714,3,228,90464,90692
7826,0,200,90559,90759
7750,2,228,90578,90806
7804,1,228,90646,90874
7794,3,228,90692,90920
7830,0,228,90759,90987
7834,2,228,90806,91034
7872,1,228,90874,91102
7831,3,295,90920,91215
7854,2,186,91034,91220
7912,2,42,91220,91262
7850,0,341,90987,91328
7918,1,342,91102,91444
7938,3,342,91215,91557
7948,2,300,91262,91562
7857,0,342,91328,91670
7951,1,342,91444,91786
7982,3,342,91557,91899
7996,2,342,91562,91904
7905,0,342,91670,92012
8025,1,342,91786,92128
8056,3,342,91899,92241
8062,2,342,91904,92246
8014,0,343,92012,92355
8091,1,342,92128,92470
8023,0,341,92355,92696
8149,1,342,92470,92812
8024,0,228,92696,92924
8200,1,228,92812,93040
8207,3,7,93065,93072
8301,3,6,93072,93078
8357,3,9,93211,93220
8258,1,228,93040,93268
8354,2,170,93211,93381
8295,1,228,93268,93496
8362,2,229,93381,93610
8406,3,292,93323,93615
8387,1,228,93496,93724
8366,2,228,93610,93838
8419,3,228,93615,93843
8481,1,228,93724,93952
8476,2,227,93838,94065
8519,3,227,93843,94070
8546,1,228,93952,94180
8500,2,228,94065,94293
8530,3,228,94070,94298
8578,1,228,94180,94408
8502,2,228,94293,94521
8531,3,228,94298,94526
8597,1,228,94408,94636
8503,2,228,94521,94749
8532,3,228,94526,94754
8631,1,228,94636,94864
8506,2,228,94749,94977
8534,3,228,94754,94982
8654,1,228,94864,95092
8635,2,229,94977,95206
8577,3,338,94982,95320
8682,1,342,95092,95434
8582,3,227,95320,95547
8638,2,346,95206,95552
8705,1,228,95434,95662
8619,3,229,95547,95776
8676,2,337,95552,95889
8724,1,342,95662,96004
8653,3,342,95776,96118
8681,2,342,95889,96231
8758,1,342,96004,96346
8670,3,342,96118,96460
8699,2,234,96231,96465
8784,1,228,96346,96574
8674,3,228,96460,96688
8703,2,336,96465,96801
8830,1,342,96574,96916
8704,2,228,96801,97029
8698,3,346,96688,97034
8847,1,228,96916,97144
8721,2,228,97029,97257
8722,3,228,97034,97262
8923,1,228,97144,97372
8773,2,228,97257,97485
